"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","OVERALL ","UPSIDE ","BUST ","ECR VS. ADP"
"1",1,"Jeremiyah Love",ARI,"RB1","20","Coach Overall rating","Coach Upside rating","Coach Bust rating","0"
"2",1,"Carnell Tate",TEN,"WR1","21","Coach Overall rating","Coach Upside rating","Coach Bust rating","0"
"3",1,"Jordyn Tyson",NO,"WR2","21","Coach Overall rating","Coach Upside rating","Coach Bust rating","+1"
"4",1,"Makai Lemon",PHI,"WR3","21","Coach Overall rating","Coach Upside rating","Coach Bust rating","+1"
"5",2,"Jadarian Price",SEA,"RB2","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","-2"
"6",2,"KC Concepcion",CLE,"WR4","21","Coach Overall rating","Coach Upside rating","Coach Bust rating","0"
"7",2,"Kenyon Sadiq",NYJ,"TE1","21","Coach Overall rating","Coach Upside rating","Coach Bust rating","0"
"8",2,"Omar Cooper Jr.",NYJ,"WR5","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","0"
"9",2,"Fernando Mendoza",LV,"QB1","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","0"
"10",3,"Eli Stowers",PHI,"TE2","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","+3"
"11",3,"Denzel Boston",CLE,"WR6","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","0"
"12",3,"Jonah Coleman",DEN,"RB3","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","-2"
"13",3,"Antonio Williams",WAS,"WR7","21","Coach Overall rating","Coach Upside rating","Coach Bust rating","+1"
"14",3,"Chris Bell",MIA,"WR8","21","Coach Overall rating","Coach Upside rating","Coach Bust rating","+4"
"15",3,"Germie Bernard",PIT,"WR9","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","0"
"16",3,"Nicholas Singleton",TEN,"RB4","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","0"
"17",4,"Ty Simpson",LAR,"QB2","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","+18"
"18",4,"Chris Brazzell II",CAR,"WR10","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","+6"
"19",4,"Emmett Johnson",KC,"RB5","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","-7"
"20",4,"Zachariah Branch",ATL,"WR11","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","+1"
"21",4,"Kaytron Allen",WAS,"RB6","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","-2"
"22",4,"De'Zhaun Stribling",SF,"WR12","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","-2"
"23",4,"Elijah Sarratt",BAL,"WR13","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","+2"
"24",4,"Ted Hurst III",TB,"WR14","21","Coach Overall rating","Coach Upside rating","Coach Bust rating","-1"
"25",4,"Mike Washington Jr.",LV,"RB7","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","-8"
"26",4,"Malachi Fields",NYG,"WR15","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","-4"
"27",4,"Skyler Bell",BUF,"WR16","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","+1"
"28",5,"Ja'Kobi Lane",BAL,"WR17","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","+1"
"29",5,"Max Klare",LAR,"TE3","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","+8"
"30",5,"Demond Claiborne",MIN,"RB8","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","-3"
"31",5,"Carson Beck",ARI,"QB3","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","+1"
"32",5,"Adam Randall",BAL,"RB9","21","Coach Overall rating","Coach Upside rating","Coach Bust rating","-2"
"33",5,"Oscar Delp",NO,"TE4","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","+1"
"34",5,"Kaelon Black",SF,"RB10","24","Coach Overall rating","Coach Upside rating","Coach Bust rating","-8"
"35",5,"Justin Joly",DEN,"TE5","21","Coach Overall rating","Coach Upside rating","Coach Bust rating","+9"
"36",5,"Bryce Lance",NO,"WR18","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","-3"
"37",5,"Seth McGowan",IND,"RB11","24","Coach Overall rating","Coach Upside rating","Coach Bust rating","+10"
"38",5,"Drew Allar",PIT,"QB4","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","+8"
"39",5,"Eli Raridon",NE,"TE6","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","-1"
"40",5,"Kevin Coleman Jr.",MIA,"WR19","22","Coach Overall rating–No rating available","Coach Upside rating–No rating available","Coach Bust rating–No rating available","+1"
"41",6,"Eli Heidenreich",PIT,"RB12","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","-5"
"42",6,"Cade Klubnik",NYJ,"QB5","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","+6"
"43",6,"Brenen Thompson",LAC,"WR20","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","-12"
"44",6,"Garrett Nussmeier",KC,"QB6","24","Coach Overall rating","Coach Upside rating","Coach Bust rating","+7"
"45",6,"Caleb Douglas",MIA,"WR21","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","-6"
"46",6,"Deion Burks",IND,"WR22","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","-3"
"47",6,"Cole Payton",PHI,"QB7","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","+11"
"48",6,"Jam Miller",NE,"RB13","-","Coach Overall rating","Coach Upside rating","Coach Bust rating","+4"
"49",6,"Sam Roush",CHI,"TE7","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","+11"
"50",6,"Taylen Green",CLE,"QB8","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","+3"
"51",6,"J'Mari Taylor",JAC,"RB14","24","Coach Overall rating","Coach Upside rating","Coach Bust rating","-2"
"52",6,"Tanner Koziol",JAC,"TE8","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","+7"
"53",6,"Jaydn Ott",KC,"RB15","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","+19"
"54",6,"Jack Endries",CIN,"TE9","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","+7"
"55",6,"CJ Daniels",LAR,"WR23","24","Coach Overall rating","Coach Upside rating","Coach Bust rating","-10"
"56",6,"Marlin Klein",HOU,"TE10","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","+1"
"57",6,"Barion Brown",NO,"WR24","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","+22"
"58",7,"Roman Hemby",LV,"RB16","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","+6"
"59",7,"Cyrus Allen",KC,"WR25","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","-3"
"60",7,"Reggie Virgil",ARI,"WR26","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","+21"
"61",7,"Zavion Thomas",CHI,"WR27","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","-21"
"62",7,"Michael Trigg",DAL,"TE11","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","-20"
"63",7,"Joe Royer",CLE,"TE12","24","Coach Overall rating","Coach Upside rating","Coach Bust rating","+5"
"64",7,"Robert Henry Jr.",WAS,"RB17","24","Coach Overall rating","Coach Upside rating","Coach Bust rating","-1"
"65",7,"Josh Cameron",JAC,"WR28","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","+8"
"66",7,"Malik Benson",LV,"WR29","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","-12"
"67",7,"Eric McAlister",FA,"WR30","-","Coach Overall rating","Coach Upside rating","Coach Bust rating","-1"
"68",7,"Desmond Reid",BUF,"RB18","21","Coach Overall rating","Coach Upside rating","Coach Bust rating","+15"
"69",7,"Kendrick Law",DET,"WR31","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","0"
"70",7,"Lewis Bond",HOU,"WR32","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","+16"
"71",8,"Terion Stewart",KC,"RB19","24","Coach Overall rating","Coach Upside rating","Coach Bust rating","+9"
"72",8,"Matt Hibner",BAL,"TE13","24","Coach Overall rating","Coach Upside rating","Coach Bust rating","-1"
"73",8,"Will Kacmarek",MIA,"TE14","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","-11"
"74",8,"Nate Boerkircher",JAC,"TE15","24","Coach Overall rating","Coach Upside rating","Coach Bust rating","-9"
"75",8,"Dean Connors",LAR,"RB20","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","+17"
"76",8,"Eric Rivers Jr.",TB,"WR33","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","+19"
"77",8,"Tyren Montgomery",TEN,"WR34","-","Coach Overall rating","Coach Upside rating","Coach Bust rating","-3"
"78",8,"Dallen Bentley",DEN,"TE16","25","Coach Overall rating","Coach Upside rating","Coach Bust rating","+10"
"79",8,"Jeff Caldwell",KC,"WR35","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","-24"
"80",8,"Noah Whittington",HOU,"RB21","24","Coach Overall rating","Coach Upside rating","Coach Bust rating","+4"
"81",8,"Colbie Young",CIN,"WR36","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","-31"
"82",8,"Aaron Anderson",CLE,"WR37","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","+3"
"83",8,"Josh Cuevas",BAL,"TE17","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","-"
"84",8,"Dane Key",DEN,"WR38","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","+23"
"85",8,"Diego Pavia",BAL,"QB9","24","Coach Overall rating","Coach Upside rating","Coach Bust rating","-10"
"86",8,"J. Michael Sturdivant",GB,"WR39","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","+26"
"87",8,"Chip Trayanum",NYJ,"RB22","24","Coach Overall rating","Coach Upside rating","Coach Bust rating","+4"
"88",8,"Sawyer Robertson",FA,"QB10","-","Coach Overall rating","Coach Upside rating","Coach Bust rating","+2"
"89",8,"CJ Donaldson",NO,"RB23","21","Coach Overall rating","Coach Upside rating","Coach Bust rating","+4"
"90",8,"Dae'Quan Wright",PHI,"TE18","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","-1"
"91",8,"Rahsul Faison",FA,"RB24","-","Coach Overall rating","Coach Upside rating","Coach Bust rating","+3"
"92",8,"Kaden Wetjen",PIT,"WR40","24","Coach Overall rating","Coach Upside rating","Coach Bust rating","-22"
"93",8,"Chase Roberts",LV,"WR41","25","Coach Overall rating","Coach Upside rating","Coach Bust rating","-11"
"94",8,"Jamal Haynes",CIN,"RB25","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","+16"
"95",8,"Harrison Wallace III",ARI,"WR42","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","+16"
"96",8,"Emmanuel Henderson Jr.",SEA,"WR43","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","+22"
"97",8,"TJ Harden",CLE,"RB26","22","Coach Overall rating","Coach Upside rating","Coach Bust rating","-"
"98",9,"Jalon Daniels",TB,"QB11","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","+1"
"99",9,"Riley Nowakowski",PIT,"TE19","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","+27"
"100",9,"RJ Maryland",GB,"TE20","21","Coach Overall rating","Coach Upside rating","Coach Bust rating","+31"
"101",9,"John Michael Gyllenborg",KC,"TE21","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","-34"
"102",9,"Miller Moss",CHI,"QB12","24","Coach Overall rating","Coach Upside rating","Coach Bust rating","+23"
"103",9,"Trebor Pena",JAC,"WR44","24","Coach Overall rating","Coach Upside rating","Coach Bust rating","+17"
"104",9,"Luke Altmyer",DET,"QB13","23","Coach Overall rating","Coach Upside rating","Coach Bust rating","-6"
