"RK","TIERS","PLAYER NAME","TEAM","POS","BYE WEEK","UPSIDE","BUST","SOS SEASON","ECR VS. ADP"
"1","1","Ja'Marr Chase","CIN","WR1","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+2"
"2","1","Jahmyr Gibbs","DET","RB1","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-1"
"3","1","Puka Nacua","LAR","WR2","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","+1"
"4","1","Bijan Robinson","ATL","RB2","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-2"
"5","1","Jaxon Smith-Njigba","SEA","WR3","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+1"
"6","1","Amon-Ra St. Brown","DET","WR4","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+2"
"7","2","CeeDee Lamb","DAL","WR5","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+5"
"8","2","Justin Jefferson","MIN","WR6","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","+5"
"9","2","Christian McCaffrey","SF","RB3","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-4"
"10","2","Drake London","ATL","WR7","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+6"
"11","2","Jonathan Taylor","IND","RB4","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-4"
"12","2","A.J. Brown","NE","WR8","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+8"
"13","3","Ashton Jeanty","LV","RB5","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-3"
"14","3","Nico Collins","HOU","WR9","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+12"
"15","3","Chase Brown","CIN","RB6","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","0"
"16","3","James Cook III","BUF","RB7","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-7"
"17","3","Brock Bowers","LV","TE1","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+5"
"18","3","George Pickens","DAL","WR10","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+6"
"19","3","Trey McBride","ARI","TE2","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+2"
"20","3","Chris Olave","NO","WR11","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+9"
"21","3","De'Von Achane","MIA","RB8","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-10"
"22","4","Rashee Rice","KC","WR12","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+5"
"23","4","DeVonta Smith","PHI","WR13","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+11"
"24","4","Saquon Barkley","PHI","RB9","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-10"
"25","4","Omarion Hampton","LAC","RB10","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-8"
"26","4","Josh Allen","BUF","QB1","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-3"
"27","4","Malik Nabers","NYG","WR14","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+1"
"28","5","Kenneth Walker III","KC","RB11","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-9"
"29","5","Zay Flowers","BAL","WR15","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+6"
"30","5","Garrett Wilson","NYJ","WR16","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+9"
"31","5","Lamar Jackson","BAL","QB2","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+11"
"32","6","Tetairoa McMillan","CAR","WR17","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+6"
"33","6","Tee Higgins","CIN","WR18","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+8"
"34","6","Ladd McConkey","LAC","WR19","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+12"
"35","6","Jaylen Waddle","DEN","WR20","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+13"
"36","6","Emeka Egbuka","TB","WR21","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+1"
"37","6","Drake Maye","NE","QB3","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+14"
"38","6","Derrick Henry","BAL","RB12","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-20"
"39","6","Colston Loveland","CHI","TE3","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+4"
"40","6","Jeremiyah Love","ARI","RB13","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-15"
"41","6","Breece Hall","NYJ","RB14","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-9"
"42","7","Kyren Williams","LAR","RB15","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-12"
"43","7","Terry McLaurin","WAS","WR22","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","+13"
"44","7","Joe Burrow","CIN","QB4","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+13"
"45","7","Josh Jacobs","GB","RB16","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-14"
